Name,Id,Source,Enabled,Description
Chrome,Google.Chrome,winget,true,Google Chrome
7-Zip,7zip.7zip,winget,true,7-Zip
Adobe Reader,Adobe.Acrobat.Reader.64-bit,winget,true,Adobe Acrobat Reader 64-bit
VLC,VideoLAN.VLC,winget,true,VLC Media Player
Teams,Microsoft.Teams,winget,true,Microsoft Teams
PowerToys,Microsoft.PowerToys,winget,true,Microsoft PowerToys
Firefox,Mozilla.Firefox,winget,true,Mozilla Firefox
GreenShot,Greenshot.Greenshot,winget,true,Greenshot Screenshot Tool
Notepad++,Notepad++.Notepad++,winget,true,Notepad++
Google Earth,Google.EarthPro,winget,true,Google Earth Pro
PowerShell 7,Microsoft.PowerShell,winget,true,PowerShell 7
